cleaned_name;matched_count;distinct_ror_link;distinct_ror_name;distinct_country;ror_links;ror_names;countries
ainshamsuniversityfacultyofcommerce;2;1;1;1;https://ror.org/00cb9w016;Ain Shams University;Egypt
atmajayamakassaruniversity;2;1;1;1;https://ror.org/03493zm15;Universitas DIPA Makassar;Indonesia
australiannationaluniversityanucrawfordschoolofpublicpolicy;2;2;2;2;https://ror.org/04dvezj25 | https://ror.org/043tp3821;RAND School of Public Policy | Crawford University;United States | Nigeria
fordhamuniversity;2;1;1;1;https://ror.org/03qnxaf80;Fordham University;United States
instituteofruralagriculturaldevelopmentpolishacademyofsciences;2;1;1;1;https://ror.org/01dr6c206;Polish Academy of Sciences;Poland
massachusettsinstituteoftechnologymitdepartmentofeconomicsuniversityofcaliforniasandiegoucsddepartmentofeconomics;2;1;1;1;https://ror.org/0168r3w48;University of California San Diego;United States
massachusettsinstituteoftechnologymiteconomicsfinanceaccountingefaaffiliationnotprovidedtossrn;2;1;1;1;https://ror.org/01xhv6h58;Sage (United Kingdom);United Kingdom
rathinamcollegeofartssciencecoimbatoretamilnaduindia;2;1;1;1;https://ror.org/04qt95144;Rathinam College of Arts & Science;India
universityofwisconsinmadison;2;1;1;1;https://ror.org/01y2jtd41;University of Wisconsin–Madison;United States
yaleuniversitylawschool;2;1;1;1;https://ror.org/03v76x132;Yale University;United States
